Ticker,Company Name,ISIN Code
PGN,Progress Energy Inc.,US7432631056
PGR,Progressive Corp.,US7433151039
PH,Parker-Hannifin Corp,US7010941042
PHA,Pharmacia Corp.,US71713U1025
PHM,PulteGroup Inc,US7458671010
RVTY,Revvity Inc,US7140461093
PLD,Prologis,US74340W1036
PLL,Pall Corp.,US6964293079
PM,Philip Morris International Inc,US7181721090
PMCS,PMC-Sierra Inc,US69344F1066
PNC,PNC Financial Services Group Inc,US6934751057
PNR,Pentair plc,IE00BLS09M33
PNU,Pharmacia & Upjohn Inc.,US7169411094
PNW,Pinnacle West Capital Corp,US7234841010
POM,Pepco Holdings Inc.,US7132911022
PPG,PPG Industries Inc,US6935061076
PPL,PPL Corp.,US69351T1060
PRD,Polaroid Corp,US7310951055
PRGO,Perrigo Company Plc,IE00BGH1M568
PRU,Prudential Financial Inc,US7443201022
PSA,Public Storage,US74460D1090
PSFT,People Soft Inc,US7127131065
PSX,Phillips 66,US7185461040
PAR,PAR Technology Corp,US6988841036
PTV,Pactiv Corp,US6952571056
PVH,PVH Corp.,US6936561009
PVN (Fin),Providian Financial Corp,US74406A1025
PWER,Power-One Inc,US73930R1023
PWJ,Paine Webber Group Inc,US6956291057
PWR,Quanta Services Inc.,US74762E1029
LIN,Linde plc,IE00BZ12WP82
PXD,Pioneer Natural Resources Co,US7237871071
PYPL,PayPal Holdings Inc.,US70450Y1038
Q (Qwe),Qwest Communications Int'l Inc,US7491211097
QCOM,Qualcomm Inc,US7475251036
QEP,QEP Resources Inc,US74733V1008
QLGC,QLogic Corp.,US7472771010
QRVO,Qorvo Inc,US74736K1016
QTRN,Quintiles Transnational Corp,US7487671007
R,Ryder System Inc,US7835491082
RAD,Rite Aid Corp.,US7677541044
RAI,Reynolds American Inc.,US7617131062
RAL,Ralston Purina Co.,US7512773026
RATL,Rational Software Corp,US75409P2020
RBK,Reebok Int'l Ltd,US7581101000
RCL,Royal Caribbean Cruises Ltd,LR0008862868
RD,Royal Dutch Petroleum,US7802578044
RDC,Rowan Companies plc,GB00B6SLMV12
REGN,Regeneron Pharmaceuticals Inc.,US75886F1075
RF,Regions Financial Corp.,US7591EP1005
RHI,Robert Half Int'l Inc,US7703231032
RHT,Red Hat Inc.,US7565771026
RIG,Transocean Ltd,CH0048265513
RL,Ralph Lauren Corp,US7512121010
RLGY,Realogy Holdings Corp,US75605Y1064
RLM,Reynolds Metals Co,US7617631012
RML,Russell Corp.,US7823521080
RNB,Republic New York Corp,US7607191043
ROH,Rohm & Hass Co,US7753711073
ROK,Rockwell Automation Inc.,US7739031091
ROP,Roper Technologies Inc,US7766961061
ROST,Ross Stores Inc,US7782961038
RRC,Range Resources Corp.,US75281A1097
RRD,RR Donnelley & Sons Co,US2578672006
RSG,Republic Services Inc.,US7607591002
RSH,RadioShack Corp.,US74979E1010
RTN,Raytheon Co. (Old),US7551115071
IMS,IMS Health Holdings Inc,US4499341083
S,Sprint Corp,US85207U1051
S (Sears),Sears Roebuck & Co,US8123871084
SAF,Safeco Corp.,US7864291007
SANM,Sanmina Corp.,US8010561020
SAPE,Sapient Corp.,US8030621085
SBL,Symbol Technologies Inc,US8715081076
SBUX,Starbucks Corp.,US8552441094
SCG,SCANA Corp.,US80589M1027
SCHW,Charles Schwab Corp.,US8085131055
SDS,Sungard Data Systems Inc,US8673631037
SE,Spectra Energy Corp.,US8475601097
SEBL,Siebel Systems Inc.,US8261701028
SEE,Sealed Air Corp.,US81211K1007
SEG,Seagate Technology (Old),US8118041032
SFA,Scientific-Atlanta Inc,US8086551046
SGI (Old),Silicon Graphics Inc (Old),US8270561025
SGP,Schering-Plough Corp.,US8066051017
SHLD,Sears Holdings Corp,US8123501061
SHW,Sherwin-Williams Co.,US8243481061
SIAL,Sigma-Aldrich Corp.,US8265521018
SIG,Signet Jewelers Ltd,BMG812761002
SII,Smith Int'l Inc,US8321101003
SJM,J. M. Smucker Co,US8326964058
SLB,Schlumberger NV,AN8068571086
SLG,SL Green Realty,US78440X1019
SLM,SLM Corp.,US78442P1066
SLR,Solectron Corp.,US8341821077
SMI,Springs Industries Inc.,US8517831009
SMS,Shared Medical Systems Corp,US8194861014
SNA,Snap-On Inc.,US8330341012
SNDK,SanDisk Corp,US80004C1018
SNI,Scripps Networks Interactive Inc,US8110651010
SNV,Synovus Financial Corp.,US87161C5013
SO,Southern Co.,US8425871071
SOTR,SouthTrust Corp,US8447301016
SOV,Sovereign Bancorp Inc,US8459051087
SPG,Simon Property Group,US8288061091
SPGI,S&P Global Inc.,US78409V1044
SPLS,Staples Inc.,US8550301027
SRCL,Stericycle Inc.,US8589121081
SRE,Sempra Energy,US8168511090
SCI,Service Corp. Int'l,US8175651046
SSP,E. W. Scripps Co,US8110544025
STI,SunTrust Banks Inc,US8679141031
STJ,St. Jude Medical Inc,US7908491035
STR,Questar Corp.,US7483561020
STT,State Street Corp.,US8574771031
STX,Seagate Technology plc,IE00BKVD2N49
STZ,Constellation Brands Inc,US21036P1084
SUB,Summit Bancorp,US8660051017
SUN (Sun),Sunoco Inc (Old),US86764P1093
SUNEQ,SunEdison Inc,US86732Y1091
SVU,Supervalu Inc.,US8685361037
SWK,Stanley Black & Decker Inc,US8545021011
SWKS,Skyworks Solutions Inc.,US83088M1027
SWN,Southwestern Energy Co,US8454671095
SWY,Safeway Inc.,US7865142084
SYF,Synchrony Financial,US87165B1035
SYK,Stryker Corp.,US8636671013
GEN,Gen Digital Inc,US6687711084
SYY,Sysco Corp.,US8718291078
T,AT&T Inc.,US00206R1023
T (Old),AT&T Corp. (Old),US0019575051
TAP,Molson Coors Brewing Co.,US60871R2094
TAP.B,Travelers Property Casualty,US89420G1094
TDC,Teradata Corp.,US88076W1036
TDG,TransDigm Group,US8936411003
TE,TECO Energy Inc,US8723751009
TEG,Integrys Energy Group,US45822P1057
TEK,Tektronix Inc.,US8791311009
TEL,TE Connectivity Ltd,CH0102993182
TER,Teradyne Inc,US8807701029
TEX,Terex Corp.,US8807791038
TGNA,TEGNA Inc,US87901J1051
TGT,Target Corp.,US87612E1064
THC,Tenet Healthcare Corp.,US88033G4073
TIE,Titanium Metal Corp,US8883392073
TIF,Tiffany & Co.,US8865471085
TIN,Temple-Inland Inc.,US8798681073
TJX,TJX Companies Inc.,US8725401090
TKR,Timken Co.,US8873891043
TLAB,Tellabs Inc.,US8796641004
TMC.A,Times Mirror Co Share,US8873641075
GL,Globe Life Inc,US37959E1029
TMO,Thermo Fisher Scientific Inc,US8835561023
TNB,Thomas & Betts Corp,US8843151023
TOS,Tosco Corp.,US8914903021
TOY,"Toys ""R"" Us, Inc.",US8923351006
TRCO,Tribune Media Co,US8960475031
TRIP,TripAdvisor Inc,US8969452015
TROW,T. Rowe Price Group Inc,US74144T1088
TRV,Travelers Companies Inc,US89417E1091
TRW (TRW),TRW Inc.,US8726491082
TSCO,Tractor Supply Co.,US8923561067
TSG,Sabre Holdings Corp,US7859051002
TSN,Tyson Foods Inc,US9024941034
ANDV,Andeavor,US03349M1053
TSS,Total System Services Inc,US8919061098
TT (Tra),Trane Inc.,US8928931083
TUP,Tupperware Brands Corp,US8998961044
TWC,Time Warner Cable Inc.,US88732J2078
TWX,Time Warner Inc.,US8873173038
TWX (Old),Time Warner Inc. (Old),US8873151091
TX,Texaco Inc.,US8816941038
TXN,Texas Instruments Inc,US8825081040
TXT,Textron Inc.,US8832031012
TXU,TXU Corp.,US8731681081
U,US Airways Group (Old),US9119051079
UA.A,Under Armour Inc Class A,US9043111072
UA,Under Armour Inc Class C,US9043112062
UAL,United Continental Holdings Inc,US9100471096
UCL,Unocal Co,US9152891027
UCM,Unicom Corp Holding Co,US9060421065
UDR,UDR Inc,US9026531049
UHS,Universal Health Services Inc,US9139031002
UIS,Unisys Corp.,US9092143067
UK,Union Carbide Corp Holding Co,US9055811049
ULTA,Ulta Salon Cosmetics & Fragrance Inc,US90384S3031
UMG,MediaOne Group Inc.,US58440J1043
UN,Unilever N.V.,US9047847093
UNH,UnitedHealth Group Inc,US91324P1021
UNM,Unum Group,US91529Y1064
UNP,Union Pacific Corp,US9078181081
UPC,Union Planters Corp.,US9080681094
UPR,Union Pacific Resources Group Inc,US9078341057
UPS,United Parcel Service Inc,US9113121068
URBN,Urban Outfitters Inc,US9170471026
URI,United Rentals Inc,US9113631090
USB,U.S. Bancorp,US9029733048
USB (FBS),U.S. Bancorp (First Bank),91159610
UST,UST Inc.,US9029111062
USW,US West Inc.,US91299X9322
RTX,Raytheon Technologies Corp,US75513E1010
UVN,Univision Comm Inc,US9149061023
V,Visa Inc.,US92826C8394
VAR,Varian Medical Systems Inc,US92220P1057
VC,Visteon Corp.,US92839U2069
VFC,VF Corp,US9182041080
VIAB,Viacom Inc.,US92553P2011
VIAV,VIAVI Solutions Inc,US9255501051
VLO,Valero Energy Corp,US91913Y1001
VMC,Vulcan Materials Co,US9291601097
VNO,Vornado Realty Trust,US9290421091
VO,Seagram Co. Ltd.,CA8118501060
VRSK,Verisk Analytics Inc,US92345Y1064
VRSN,Verisign Inc.,US92343E1029
VRTS (Veri),Veritas Software Corp,US9234361098
VRTX,Vertex Pharmaceuticals Inc.,US92532F1003
VTR,Ventas Inc.,US92276F1003
VTSS,Vitesse Semiconductor Corp,US9284973040
VZ,Verizon Communications Inc,US92343V1044
COOP,Mr. Cooper Group Inc,US62482R1077
WAT,Waters Corp.,US9418481035
WB,Wachovia Corp.,US9299031024
WB (Old),Wachovia Corp (Old),US9297711031
WBA,Walgreens Boots Alliance Inc,US9314271084
WCOM,WorldCom Inc,US98157D1063
WDC,Western Digital Corp,US9581021055
WEC,WEC Energy Group Inc,US92939U1060
WEN,Wendy's International,US9505901093
WFC,Wells Fargo & Co,US9497461015
WFM,Whole Foods Market Inc,US9668371068
WFT,Weatherford Int'l plc,IE00BLNN3691
WHR,Whirlpool Corp.,US9633201069
WIN,Windstream Holdings Inc,US97382A3095
WIN (W-D),Winn-Dixie Stores Inc (Old),US9742801098
WLA,Warner Lambert Pharmaceutical Co,US9344881076
WLL (Wil),Willamette Industries Inc,US9691331071
WLP,Wellpoint Health Networks Inc,US94973H1086
WTW,Willis Towers Watson plc,IE00BDB6Q211
WM,Waste Management Inc.,US94106L1098
WMB,Williams Companies Inc,US9694571004
WMT,Wal-Mart Stores Inc,US9311421039
WOR,Worthington Industries Inc,US9818111026
WPX,WPX Energy Inc,US98212B1035
SW,Smurfit WestRock plc,IE00028FXN24
WU,Western Union Co.,US9598021098
WWY,Wrigley Co.,US9825261053
WY,Weyerhaeuser Co,US9621661043
WYE,Wyeth Corp.,US9830241009
WYND,Wyndham Destinations Inc,US98310W1080
WYNN,Wynn Resorts Ltd,US9831341071
X,United States Steel Corp,US9129091081
XEC,Cimarex Energy Co,US1717981013
XEL,Xcel Energy Inc.,US98389B1008
XL,XL Group Ltd,BMG982941046
XLNX,Xilinx Inc.,US9839191015
XOM,Exxon Mobil Corp.,US30231G1022
XRAY,Dentsply Sirona Inc,US24906P1093
XRX,Xerox Corp.,US98421M1062
XTO,XTO Energy Inc.,US98385X1063
XYL,Xylem Inc.,US98419M1009
YHOO,Yahoo! Inc,US9843321061
YNR,Young & Rubicam Inc,US9874251054
YUM,Yum! Brands Inc.,US9884981013
ZBH,Zimmer Biomet Holdings Inc,US98956P1021
ZION,Zion Bancorp,US9897011071
ZTS,Zoetis Inc,US98978V1035
RJF,Raymond James Financial Inc,US7547301090
ARE,Alexandria Real Estate Equities,US0152711091
SNPS,Synopsys Inc,US8716071076
DISH,DISH Network Corp,US25470M1099
REG,Regency Centers,US7588491032
CBOE,CBOE Holdings Inc,US12503M1080
IT,Gartner Inc,US3666511072
DXC,DXC Technology Co,US23355L1061
EG,Everest Group Ltd,BMG3223R1088
ALGN,Align Technology Inc.,US0162551016
ANSS,ANSYS Inc.,US03662Q1058
INFO,IHS Markit Ltd.,BMG475671050
CDNS,Cadence Design Systems Inc,US1273871087
SBAC,SBA Comm's Corp,US78410G1040
IQV,IQVIA Holdings Inc,US46266C1053
BHF,Brighthouse Financial Inc,US10922N1037
MGM,MGM Resorts International,US5529531015
RMD,ResMed Inc.,US7611521078
PKG,Packaging Corp of America,US6951561090
AOS,A. O. Smith Corp,US8318652091
DRE,Duke Realty,US2644115055
NCLH,Norwegian Cruise Line Holdings Ltd,BMG667211046
HII,Huntington Ingalls Industries Inc.,US4464131063
TTWO,Take-Two Interactive Software Inc.,US8740541094
SIVB,SVB Financial Group,US78486Q1013
NKTR,Nektar Therapeutics,US6402681083
IPGP,IPG Photonics Corp,US44980X1090
MSCI,MSCI Inc,US55354G1004
ABMD,ABIOMED Inc,US0036541003
EVRG,Evergy Inc,US30034W1062
TWTR,Twitter Inc,US90184L1026
CPAY,Corpay Inc,US2199481068
HFC,HollyFrontier Corp,US4361061082
BR,Broadridge Financial Solutions Inc,US11133T1034
CPRT,Copart Inc,US2172041061
ANET,Arista Networks Inc,US0404131064
WCG,WellCare Health Plans Inc,US94946T1060
ROL,Rollins Inc,US7757111049
FTNT,Fortinet Inc,US34959E1091
JKHY,Jack Henry & Associates Inc,US4262811015
KEYS,Keysight Technologies Inc,US49338L1035
CE,Celanese Corp,US1508701034
FANG,Diamondback Energy Inc,US25278X1090
LW,Lamb Weston Holdings Inc,US5132721045
WAB,Wabtec Corp,US9297401088
ATO,Atmos Energy Corp,US0495601058
TFX,Teleflex Inc,US8793691069
DOW,Dow Inc,US2605571031
CTVA,Corteva Inc.,US22052L1044
AMCR,Amcor plc,JE00BJ1F3079
MKTX,MarketAxess Holdings Inc,US57060D1081
NVR,NVR Inc,US62944T1051
CDW,CDW Corp,US12514G1085
IEX,IDEX Corp,US45167R1041
LVS,Las Vegas Sands Corp,US5178341070
NOW,ServiceNow Inc,US81762P1021
ODFL,Old Dominion Freight Line Inc,US6795801009
WRB,W. R. Berkley Corp,US0844231029
STE,STERIS plc,IE00BFY8C754
ZBRA,Zebra Technologies Corp,US9892071054
LYV,Live Nation Entertainment Inc,US5380341090
PAYC,Paycom Software Inc,US70432V1026
IR,Ingersoll Rand Inc,US45687V1061
CARR,Carrier Global Corp,US14448C1045
OTIS,Otis Worldwide Corp,US68902V1070
WST,West Pharmaceutical Services Inc,US9553061055
DXCM,DexCom Inc,US2521311074
DPZ,Domino's Pizza Inc,US25754A2015
TYL,Tyler Technologies Inc,US9022521051
BIO,Bio-Rad Laboratories Inc,US0905722072
TDY,Teledyne Technologies Inc,US8793601050
ETSY,Etsy Inc.,US29786A1060
CTLT,Catalent Inc,US1488061029
VNT,Vontier Corp.,US9288811014
POOL,Pool Corp,US73278L1052
TSLA,Tesla Inc,US88160R1014
TRMB,Trimble Inc,US8962391004
ENPH,Enphase Energy Inc,US29355A1079
MPWR,Monolithic Power Systems Inc,US6098391054
NXPI,NXP Semiconductors NV,NL0009538784
PENN,Penn National Gaming Inc,US7075691094
GNRC,Generac Holdings Inc,US3687361044
CZR,Caesars Entertainment Inc,US12769G1004
PTC,PTC Inc,US69370C1009
CRL,Charles River Laboratories International Inc ,US1598641074
OGN,Organon & Co,US68622V1061
MRNA,Moderna Inc,US60770K1079
TECH,Bio-Techne Corp,US09073M1045
MTCH,Match Group Inc,US57667L1070
DAY,Dayforce Inc,US15677J1088
BRO,Brown & Brown Inc,US1152361010
SBNY,Signature Bank,US82669G1040
SEDG,SolarEdge Technologies Inc,US83417M1045
FDS,FactSet Research Systems Inc,US3030751057
EPAM,EPAM Systems Inc,US29414B1044
NDSN,Nordson Corp,US6556631025
CEG,Constellation Energy Corp,US21037T1097
MOH,Molina Healthcare Inc,US60855R1005
CPT,Camden Property Trust,US1331311027
VICI,VICI Properties Inc,US9256521090
ON,ON Semiconductor Corp,US6821891057
KDP,Keurig Dr Pepper Inc,US49271V1008
CSGP,CoStar Group Inc,US22160N1090
INVH,Invitation Homes Inc,US46187W1071
TRGP,Targa Resources Corp,US87612G1013
ACGL,Arch Capital Group Ltd,BMG0450A1053
STLD,Steel Dynamics Inc,US8581191009
GEHC,GE HealthCare Technologies Inc,US36266G1076
FICO,Fair Isaac & Co Inc,US3032501047
BG,Bunge Ltd,BMG169621056
PODD,Insulet Corp,US45784P1012
AXON,Axon Enterprise Inc,US05464C1018
PANW,Palo Alto Networks Inc,US6974351057
KVUE,Kenvue Inc,US49177J1025	
BX,Blackstone Inc,US09260D1072
ABNB,Airbnb Inc,US0090661010
LULU,Lululemon Athletica Inc,US5500211090
HUBB,Hubbell Inc,US4435106079
VLTO,Veralto Corp,US92338C1036
UBER,Uber Technologies Inc,US90353T1007
BLDR,Builders FirstSource Inc,US12008R1077
DECK,Deckers Outdoor Corp,US2435371073
SMCI,Super Micro Computer Inc,US86800U1043
GEV,GE Vernova Inc,US36828A1016
SOLV,Solventum Corp,US83444M1018
VST,Vistra Corp,US92840M1027
KKR,KKR & Co Inc,US48251W1045
CRWD,CrowdStrike Holdings Inc,US22788C1053
GDDY,GoDaddy Inc,US3802371076
PLTR,Palantir Technologies Inc,US69608A1088
DELL,Dell Technologies Inc,US24703L2025
ERIE,Erie Indemnity Co,US29530P1021
AMTM,Amentum Holdings Inc,US0239391016
